sku_id,account_id,current_oversellable,current_available,current_kit_to_ship_available,current_sellable,current_backorder_count,total_shipped,total_expected,oldest_backorder_date,sales_last_week,sales_last_4_weeks,sales_last_12_weeks,sales_last_52_weeks,weeks_of_supply,warehouse_id,unique_sku_name,is_kit,image_url,preferred_min_quantity,product_name,product_category,product_class_name,account_slug,is_on_watch_list
4c730872-79d3-49c6-9496-1f69d13a58f7,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,2,<nil>,2,<nil>,13,1,<nil>,3,8,13,13,1,226994,JUXT3NKNT32-50,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201638.png?v=1618002087,0,Athletic / Knight,Jean,Merchandise,theperfectjean,false
a1efad13-26f7-413d-9a30-6358ac774c5b,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,6,<nil>,6,<nil>,12,2,<nil>,3,7,12,12,3,227466,JU9T1WBLN28-36,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/The_Perfect_Jean_April_10_20213054.jpg?v=1618889926,0,Slim / Blanco,Jean,Merchandise,theperfectjean,false
3c493df5-1d37-4aaf-b24d-c54ba73e0a43,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,0,<nil>,0,0,42,0,<nil>,3,5,12,42,0,194625,JU9T1NAMR28-28,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/Front-Slim_admiral_771a8978-2225-4279-9853-607f641294cb.jpg?v=1617756121,0,Slim / Admiral,Jean,Merchandise,theperfectjean,false
b1cea7ef-2f94-4e72-af90-3cc5895660a3,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,7,<nil>,7,<nil>,21,1,<nil>,3,11,22,22,2,226833,JUXT1NKNT32-42,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/FrontBottom-Slim_knight_8868dd07-e03d-4fab-9bf3-50da0593aff7.jpg?v=1590012515,0,Slim / Knight,Jean,Merchandise,theperfectjean,false
388310a9-c617-4364-8998-57bbb543f4b9,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,171,<nil>,171,0,218,5,<nil>,3,21,77,218,32,164391,JU9T2BBDT32-32,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/Front-Skinny_bandit_ab47e1cd-b973-448d-b177-53a55679e881.jpg?v=1587130358,0,Skinny / Bandit,Jean,Merchandise,theperfectjean,false
2be32168-6d6b-415b-9df8-6a3564304fa1,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,26,<nil>,26,<nil>,14,3,<nil>,3,14,14,14,7,231104,JS9T2BBDT-31,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit1.jpg?v=1622770551,0,Jorts / Bandit,Shorts,<nil>,theperfectjean,false
05ae094a-382e-48d4-9f14-9442ba73e5c3,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,30,<nil>,30,0,137,2,<nil>,3,12,37,137,10,164335,JU9T1LJKR32-30,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/Front-Slim_joker_bd244536-f057-4d70-b31b-47d224ebe6ba.jpg?v=1617756143,0,Slim / Joker,Jean,Merchandise,theperfectjean,false
c2507706-2c93-4290-8cbe-fabcc44c4448,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,13,<nil>,13,0,54,2,<nil>,3,11,27,54,4,181846,JU9T3LJKR30-30,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201791.png?v=1610228088,0,Athletic / Joker,Jean,Merchandise,theperfectjean,false
25c8c852-d6b4-4bae-b7ba-dc4fce622efc,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,31,<nil>,31,<nil>,16,0,<nil>,3,7,16,16,17,227461,JU9T1WBLN34-32,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/The_Perfect_Jean_April_10_20213054.jpg?v=1618889926,0,Slim / Blanco,Jean,Merchandise,theperfectjean,false
4cf2767c-b94e-42cb-bcac-0ca58320853a,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,32,<nil>,32,<nil>,7,0,<nil>,3,7,7,7,18,227465,JU9T1WBLN28-34,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/The_Perfect_Jean_April_10_20213054.jpg?v=1618889926,0,Slim / Blanco,Jean,Merchandise,theperfectjean,false
affe3f0f-dcb4-4525-88f2-8906e5caabfc,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,19,<nil>,19,<nil>,33,6,<nil>,3,3,6,33,25,194716,JU9T1NCWB36-34,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201700.png?v=1617756138,0,Slim / Cowboy,Jean,Merchandise,theperfectjean,false
f132580d-916b-4f00-b169-22f9e8b45f10,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,14,<nil>,14,<nil>,29,3,<nil>,3,8,15,30,7,181963,JU9T3NKNT32-29,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201638.png?v=1618002087,0,Athletic / Knight,Jean,Merchandise,theperfectjean,false
edfd9038-f21f-4b79-9041-15691f5dfba9,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,99,<nil>,99,0,193,9,<nil>,3,31,73,193,12,164355,JU9T2BBDT32-34,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/Front-Skinny_bandit_ab47e1cd-b973-448d-b177-53a55679e881.jpg?v=1587130358,0,Skinny / Bandit,Jean,Merchandise,theperfectjean,false
dd674414-19e1-4e69-b632-555c7da352ad,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,28,<nil>,28,0,20,0,<nil>,3,7,20,20,16,227569,JU9T3GMNR34-34,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/The_Perfect_Jean_April_10_20213103.jpg?v=1618889975,0,Athletic / Miner,Jean,Merchandise,theperfectjean,false
ae0d015a-2ebe-437e-a672-e51fedccc6d8,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,1,<nil>,1,0,90,2,<nil>,3,26,53,90,0,194506,JU9T3LJKR30-34,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201791.png?v=1610228088,0,Athletic / Joker,Jean,Merchandise,theperfectjean,false
ada74d51-641b-4d52-a0b8-8fa9ba5ec6ff,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,35,<nil>,35,<nil>,30,0,<nil>,3,7,12,31,20,182030,JU9T1DCPT32-28,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/NandoCaptainSlimFront2.png?v=1617756131,0,Slim / Captain,Jean,Merchandise,theperfectjean,false
c722ea54-d86e-42d6-9341-fd05f269724e,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,22,<nil>,22,0,101,11,<nil>,3,10,34,101,8,181850,JU9T3LJKR30-32,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201791.png?v=1610228088,0,Athletic / Joker,Jean,Merchandise,theperfectjean,false
5c944fd5-cf36-4e78-88e6-72563b68d50a,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,0,<nil>,0,<nil>,67,5,<nil>,3,10,16,68,0,164362,JU9T1BBDT32-29,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/Front-Slim_bandit_c2ff8cd9-acf1-4e39-bd45-842bba2a006b.jpg?v=1617756126,0,Slim / Bandit,Jean,Merchandise,theperfectjean,false
e70bb148-a1d7-4690-91aa-c1cd96427271,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,0,47,<nil>,47,0,67,5,<nil>,3,10,23,66,18,194536,JU9T3NKNT34-40,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/ThePerfectJean_20201638.png?v=1618002087,0,Athletic / Knight,Jean,Merchandise,theperfectjean,false
b2b48c5a-967c-446d-8541-1f1661b85d60,e7ce732f-edfd-43ab-a1d5-d6be5a5123fe,<nil>,31,<nil>,31,<nil>,27,0,<nil>,3,12,28,28,10,227658,JU9T2GMNR32-33,false,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/The_Perfect_Jean_April_10_20213039.jpg?v=1618890142,0,Skinny / Miner,Jean,Merchandise,theperfectjean,false
